order_id,customer_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,first_order_flag,basket_size,unique_aisles,unique_departments,reordered_items,new_to_customer_items,reorder_share,new_to_customer_share,avg_add_to_cart_order,max_add_to_cart_order
2,202279,3,5,9,8.0,0,9,8,3,6,3,0.6666666666666666,0.3333333333333333,5.0,9
3,205970,16,5,17,12.0,0,8,6,4,8,0,1.0,0.0,4.5,8
4,178520,36,1,9,7.0,0,13,9,5,12,1,0.9230769230769231,0.07692307692307693,7.0,13
5,156122,42,6,16,9.0,0,26,19,11,21,5,0.8076923076923077,0.19230769230769232,13.5,26
6,22352,4,1,12,30.0,0,3,3,2,0,3,0.0,1.0,2.0,3
7,142903,11,2,14,30.0,0,2,2,2,0,2,0.0,1.0,1.5,2
8,3107,5,4,6,17.0,0,1,1,1,1,0,1.0,0.0,1.0,1
9,139016,14,0,19,5.0,0,15,12,8,10,5,0.6666666666666666,0.3333333333333333,8.0,15
10,135442,4,6,8,8.0,0,15,7,5,8,7,0.5333333333333333,0.4666666666666667,8.0,15
11,143742,4,1,19,23.0,0,5,5,5,5,0,1.0,0.0,3.0,5
12,152610,22,6,8,10.0,0,15,9,7,6,9,0.4,0.6,8.0,15
13,45082,2,6,17,1.0,0,13,9,5,0,13,0.0,1.0,7.0,13
14,18194,49,3,15,3.0,0,11,11,6,9,2,0.8181818181818182,0.18181818181818182,6.0,11
15,54901,51,3,11,2.0,0,5,4,4,5,0,1.0,0.0,3.0,5
16,174840,18,3,12,13.0,0,3,3,2,1,2,0.3333333333333333,0.6666666666666666,2.0,3
18,118860,3,4,20,6.0,0,28,17,13,10,18,0.35714285714285715,0.6428571428571429,14.5,28
19,83009,7,5,17,13.0,0,3,3,2,3,0,1.0,0.0,2.0,3
20,182912,1,6,17,,1,8,7,5,0,8,0.0,1.0,4.5,8
21,88772,13,2,12,5.0,0,5,4,4,3,2,0.6,0.4,3.0,5
22,30822,25,1,8,12.0,0,14,12,6,10,4,0.7142857142857143,0.2857142857142857,7.5,14
23,68572,21,1,18,8.0,0,14,10,8,9,5,0.6428571428571429,0.35714285714285715,7.5,14
24,193635,19,0,14,0.0,0,3,1,1,0,3,0.0,1.0,2.0,3
25,59897,19,6,10,25.0,0,14,11,6,8,6,0.5714285714285714,0.42857142857142855,7.5,14
26,153404,2,0,16,7.0,0,8,6,4,2,6,0.25,0.75,4.5,8
27,129389,16,6,20,14.0,0,27,16,9,16,11,0.5925925925925926,0.4074074074074074,14.0,27
28,98256,29,3,13,6.0,0,16,10,4,14,2,0.875,0.125,8.5,16
29,81606,14,5,12,10.0,0,5,4,2,5,0,1.0,0.0,3.0,5
30,194309,2,3,0,18.0,0,3,3,3,2,1,0.6666666666666666,0.3333333333333333,2.0,3
31,201744,7,6,15,14.0,0,10,7,5,9,1,0.9,0.1,5.5,10
32,119216,4,1,19,11.0,0,9,7,4,5,4,0.5555555555555556,0.4444444444444444,5.0,9
33,119866,6,1,18,21.0,0,9,9,6,3,6,0.3333333333333333,0.6666666666666666,5.0,9
35,202527,1,1,13,,1,5,5,4,0,5,0.0,1.0,3.0,5
37,52564,1,4,17,,1,3,2,1,0,3,0.0,1.0,2.0,3
39,184886,8,5,18,30.0,0,5,4,2,1,4,0.2,0.8,3.0,5
40,382,29,1,15,23.0,0,4,3,3,4,0,1.0,0.0,2.5,4
41,85264,20,2,11,21.0,0,2,2,2,2,0,1.0,0.0,1.5,2
42,89125,11,0,20,3.0,0,3,3,2,2,1,0.6666666666666666,0.3333333333333333,2.0,3
43,39630,14,5,17,4.0,0,7,6,5,2,5,0.2857142857142857,0.7142857142857143,4.0,7
44,183833,3,6,17,1.0,0,10,9,6,3,7,0.3,0.7,5.5,10
45,37913,55,1,14,0.0,0,1,1,1,1,0,1.0,0.0,1.0,1
46,10951,3,0,18,18.0,0,20,16,9,10,10,0.5,0.5,10.5,20
47,191597,6,5,0,15.0,0,5,4,2,3,2,0.6,0.4,3.0,5
48,172786,5,2,0,30.0,0,8,6,4,2,6,0.25,0.75,4.5,8
49,79165,14,1,22,7.0,0,4,3,3,4,0,1.0,0.0,2.5,4
50,94330,25,1,13,4.0,0,7,5,4,3,4,0.42857142857142855,0.5714285714285714,4.0,7
51,160959,6,0,10,7.0,0,9,7,6,3,6,0.3333333333333333,0.6666666666666666,5.0,9
52,27498,18,3,10,1.0,0,5,4,3,3,2,0.6,0.4,3.0,5
53,87889,5,4,20,3.0,0,15,8,5,9,6,0.6,0.4,8.0,15
